uid,ItemID,Rating,Food,Service,Ambience,Value
47,50,5,5,5,5,5
47,36,3,3,3,2,3
47,91,5,5,5,5,5
47,55,1,1,3,4,3
47,50,5,5,5,5,5
47,61,3,4,1,4,3
47,35,5,5,5,5,5
47,43,4,4,4,3,4
47,84,5,5,5,4,5
47,85,5,5,5,5,5
47,25,4,5,5,2,4
47,17,5,5,5,5,5
47,35,4,4,5,4,4
47,39,5,5,4,5,5
47,14,3,2,1,2,2
47,64,3,5,3,4,4
47,94,5,5,5,5,5
47,84,4,5,5,4,5
47,89,3,3,2,3,3
47,99,1,2,1,2,2
47,74,5,5,5,3,4
47,47,4,4,4,5,4
47,38,1,2,1,2,2
47,47,3,4,4,5,4
47,17,3,4,5,5,5
48,25,5,5,5,5,5
49,33,2,4,1,3,3
49,99,5,5,5,4,5
50,80,5,5,5,4,5
50,55,3,3,4,3,3
50,50,5,5,5,5,5
51,79,3,3,5,1,3
51,25,5,5,5,5,5
53,24,5,5,5,5,5
53,88,4,4,4,4,4
53,79,4,4,4,4,4
53,39,5,5,5,5,5
53,79,4,4,3,4,4
53,88,4,4,4,4,4
53,88,4,4,4,4,4
53,88,4,4,4,4,4
53,25,5,5,5,5,5
53,48,5,5,5,4,5
53,88,3,4,3,4,4
53,59,4,4,4,4,4
53,84,4,4,4,4,4
53,55,5,5,5,4,5
54,71,5,4,5,4,4
54,14,4,4,5,2,4
54,71,3,3,3,3,3
54,71,3,2,3,3,3
56,98,5,5,5,5,5
57,73,4,5,5,5,5
57,72,5,5,5,5,5
57,72,5,5,5,5,5
57,72,5,5,5,5,5
57,72,5,5,5,5,5
57,96,5,5,5,5,5
57,72,5,5,5,5,5
57,88,4,4,4,4,4
57,34,5,5,5,5,5
57,55,4,4,3,3,3
57,33,5,5,5,5,5
57,56,5,5,4,5,5
57,93,5,5,5,5,5
57,72,5,5,5,5,5
57,50,5,5,5,5,5
58,15,1,1,1,1,1
59,96,5,4,5,5,5
59,10,5,5,5,4,5
60,49,5,5,5,5,5
60,35,5,5,5,5,5
60,36,2,2,3,3,3
61,55,3,3,3,3,3
61,63,2,4,1,4,3
61,63,2,5,1,5,4
61,59,5,5,5,5,5
61,63,5,5,5,5,5
62,15,2,3,4,3,3
62,10,3,2,4,3,3
63,50,3,3,4,3,3
65,88,5,5,5,5,5
65,91,5,5,4,5,5
65,91,5,5,4,5,5
65,94,5,5,5,5,5
65,94,5,5,5,5,5
65,35,5,4,5,5,5
66,33,5,5,5,5,5
66,72,5,5,5,5,5
66,35,1,1,1,3,2
66,55,5,5,5,5,5
66,69,3,3,5,5,4
66,14,3,3,4,3,3
66,47,5,5,5,5,5
67,55,5,5,5,5,5
67,59,3,2,3,3,3
67,47,5,5,4,5,5
68,65,3,4,3,2,3
68,44,5,5,5,5,5
68,84,5,5,5,5,5
68,57,5,5,5,5,5
68,95,5,5,5,5,5
68,27,2,3,1,4,3
68,79,5,4,4,4,4
68,43,5,5,5,5,5
68,43,5,5,5,5,5
68,84,4,4,4,4,4
68,86,5,5,5,5,5
68,95,5,5,5,5,5
68,84,4,4,4,4,4
68,84,4,4,4,4,4
68,71,4,3,4,4,4
68,71,5,5,5,5,5
68,71,5,5,4,4,4
68,57,4,3,4,4,4
68,59,5,5,5,4,5
69,54,5,5,5,5,5
69,25,5,5,5,4,5
69,25,5,5,5,5,5
69,73,5,5,5,5,5
70,61,3,4,3,3,3
70,56,1,3,1,3,2
73,10,5,5,5,4,5
73,10,5,5,5,5,5
74,59,4,4,4,5,4
74,63,5,5,4,5,5
74,88,5,5,5,5,5
74,79,3,3,5,4,4
74,63,5,5,4,4,4
74,96,5,5,5,5,5
74,72,5,5,5,5,5
74,37,5,5,5,5,5
74,80,5,5,5,5,5
74,33,5,5,4,4,4
78,98,5,5,5,5,5
78,44,5,5,5,5,5
78,59,5,5,5,4,5
78,72,5,5,5,5,5
78,55,4,4,5,5,5
78,55,5,4,5,5,5
78,55,4,4,5,4,4
78,63,3,3,4,2,3
78,52,5,5,5,5,5
80,33,5,5,5,5,5
80,84,5,5,5,5,5
80,84,5,5,5,5,5
80,35,2,2,3,3,3
80,72,4,5,4,4,4
80,72,4,4,4,4,4
81,50,5,5,5,5,5
81,35,5,5,5,5,5
81,68,4,4,4,4,4
81,44,4,4,3,4,4
81,35,5,5,5,5,5
82,85,3,3,3,4,3
83,50,4,5,5,4,5
83,50,5,5,5,5,5
83,35,3,4,2,4,3
83,35,5,4,5,4,4
83,14,1,1,2,3,2
83,50,2,2,2,2,2
86,27,2,3,1,4,3
86,93,5,5,5,5,5
86,79,3,4,3,4,4
86,17,5,5,5,5,5
86,91,5,5,4,4,4
86,94,5,5,5,5,5
86,33,4,4,5,5,5
86,77,5,5,5,5,5
86,85,5,3,4,5,4
86,38,4,5,5,4,5
86,97,5,5,5,5,5
86,94,3,3,3,4,3
86,21,5,5,5,4,5
86,35,5,5,5,5,5
86,78,5,5,5,5,5
89,23,5,5,5,5,5
89,35,5,5,5,5,5
90,96,4,4,3,5,4
90,17,5,5,5,4,5
90,99,5,5,4,4,4
90,96,5,5,5,5,5
90,72,5,4,5,4,4
90,72,5,5,5,5,5
90,28,5,5,5,5,5
91,48,5,4,5,5,5
91,12,5,5,5,5,5
91,97,5,5,5,5,5
91,9,5,5,5,5,5
91,78,4,5,3,4,4
92,72,2,2,2,3,2
92,76,5,5,3,4,4
92,54,5,4,5,5,5
92,55,5,5,5,5,5
92,73,3,4,4,4,4
93,69,5,5,5,5,5
93,79,5,5,5,4,5
93,71,5,5,5,5,5
93,26,5,5,5,5,5
95,44,5,5,5,4,5
95,78,5,5,5,5,5
95,10,5,5,5,4,5
95,77,5,5,5,5,5
95,55,5,5,4,5,5
95,94,5,5,5,4,5
95,10,5,5,5,5,5
95,79,2,3,2,1,2
95,26,4,5,5,3,4
96,88,5,5,5,5,5
96,71,5,5,5,5,5
96,50,4,4,4,4,4
97,85,4,5,5,3,4
98,21,5,5,5,5,5
98,21,5,5,5,5,5
98,21,5,5,5,5,5
98,21,5,5,5,5,5
98,61,5,5,5,5,5
98,21,5,5,5,5,5
99,99,3,5,2,4,4
99,26,5,5,5,5,5
99,94,1,1,1,1,1
99,62,2,2,4,3,3
100,35,5,4,5,5,5
100,78,4,4,5,4,4
102,88,3,4,4,2,3
102,68,5,5,3,4,4
102,80,5,5,5,5,5
102,84,4,5,5,4,5
102,48,5,3,5,5,4
102,17,5,5,5,5,5
104,23,5,5,5,5,5
104,99,5,5,4,5,5
104,85,2,5,1,2,3
104,71,4,4,4,4,4
104,25,5,5,5,5,5
104,63,5,5,4,5,5
104,33,5,5,5,5,5
106,91,5,5,5,5,5
106,79,4,4,3,4,4
106,50,5,4,5,3,4
106,96,5,5,5,5,5
106,50,4,4,5,4,4
106,35,4,4,4,4,4
106,79,4,4,4,4,4
106,28,3,3,5,5,4
107,84,3,4,2,4,3
107,10,5,5,5,3,4
107,55,5,5,5,5,5
107,55,5,5,5,5,5
107,68,4,5,4,4,4
107,75,4,5,5,3,4
109,50,5,5,5,3,4
109,69,4,4,4,4,4
109,71,3,3,4,4,4
109,55,3,4,3,4,4
109,63,2,2,2,2,2
109,34,2,2,2,2,2
109,35,5,4,5,4,4
109,65,4,5,3,4,4
109,72,3,3,3,2,3
109,73,5,4,3,4,4
109,88,5,5,5,5,5
109,63,4,4,4,4,4
109,42,5,5,5,5,5
109,65,2,4,2,2,3
109,72,4,4,4,4,4
109,47,5,5,5,5,5
109,23,5,5,5,5,5
109,59,4,4,4,4,4
109,98,3,2,5,2,3
109,68,3,4,1,3,3
109,59,4,4,5,3,4
109,59,4,4,5,4,4
109,14,5,5,5,5,5
109,98,4,5,3,3,4
109,82,5,5,5,5,5
109,33,5,5,4,4,4
109,35,5,5,5,5,5
109,59,4,4,4,2,3
109,55,5,5,5,4,5
109,35,5,5,4,4,4
109,33,5,5,5,5,5
109,99,2,2,3,3,3
109,65,4,4,4,4,4
109,71,4,4,4,4,4
110,33,4,4,4,3,4
111,78,5,5,5,5,5
111,85,5,5,5,4,5
112,89,4,4,4,4,4
112,89,4,5,4,4,4
112,20,5,5,5,5,5
112,91,5,5,3,2,3
112,89,5,5,5,4,5
112,89,5,5,5,5,5
112,91,5,5,3,4,4
112,68,4,4,4,4,4
112,91,2,2,2,3,2
112,91,5,5,3,5,4
112,91,5,5,5,5,5
112,91,5,5,4,5,5
112,89,5,5,5,4,5
112,94,1,1,1,2,1
112,89,4,4,4,4,4
112,89,4,5,5,3,4
112,91,5,5,5,5,5
112,89,4,4,4,4,4
112,89,4,4,4,4,4
113,84,3,4,4,2,3
114,51,3,4,4,3,4
114,90,3,3,3,3,3
114,63,4,4,4,4,4
115,81,3,4,2,3,3
115,55,3,5,5,5,5
115,65,5,5,5,5,5
115,11,5,5,5,5,5
115,46,4,5,5,4,5
115,65,3,4,2,3,3
115,10,2,3,2,2,2
115,25,5,5,5,5,5
115,88,3,3,5,3,4
115,63,4,5,4,4,4
116,11,5,5,5,5,5
117,15,2,4,1,2,2
117,25,3,5,3,3,4
117,92,5,5,5,5,5
117,25,5,5,5,5,5
117,59,5,5,5,5,5
117,96,5,5,5,4,5
117,97,3,4,4,3,4
117,65,3,3,3,3,3
117,25,5,5,5,5,5
117,72,3,4,3,4,4
117,76,4,5,5,5,5
118,94,2,5,4,4,4
118,52,5,5,5,5,5
118,69,5,5,5,5,5
118,74,5,5,4,4,4
118,74,5,5,4,4,4
118,74,5,5,5,4,5
118,99,4,4,4,4,4
118,27,4,4,4,5,4
118,55,3,2,3,3,3
118,59,4,5,4,4,4
118,88,3,4,3,3,3
118,30,4,4,2,4,3
118,79,5,5,5,5,5
118,85,4,4,4,5,4
118,91,5,4,4,5,4
118,92,3,4,4,2,3
118,99,4,4,4,4,4
118,25,5,5,4,4,4
118,59,3,4,4,3,4
118,79,5,5,5,5,5
118,17,5,5,5,5,5
118,32,5,5,5,5,5
118,39,5,5,5,5,5
118,55,2,3,3,3,3
118,6,3,3,2,3,3
118,28,5,5,5,5,5
118,42,5,5,5,5,5
118,59,5,5,5,5,5
118,60,3,4,3,3,3
118,74,5,5,5,2,4
118,94,2,4,1,4,3
118,51,5,5,5,4,5
118,28,5,5,5,5,5
118,65,2,2,1,1,1
118,74,2,3,2,1,2
118,94,4,3,4,3,3
118,99,5,5,5,5,5
118,10,4,5,5,3,4
118,89,3,3,3,3,3
118,6,5,5,5,5,5
118,25,5,5,5,5,5
118,37,5,4,4,4,4
119,43,5,5,5,4,5
119,43,3,3,3,4,3
119,61,4,3,3,5,4
120,69,5,5,5,5,5
120,91,5,5,4,5,5
120,47,5,5,5,5,5
120,56,5,5,5,5,5
120,59,5,4,5,4,4
120,63,5,4,4,5,4
120,71,4,4,4,4,4
120,98,1,1,1,1,1
120,98,5,5,5,5,5
120,18,2,1,2,3,2
120,30,3,3,2,3,3
120,35,5,5,5,5,5
120,34,2,2,2,2,2
120,33,5,4,5,5,5
120,40,5,5,4,4,4
120,44,5,5,5,5,5
120,63,4,4,4,4,4
120,46,5,3,5,4,4
120,46,5,5,5,5,5
120,81,1,1,1,1,1
120,91,5,5,5,5,5
120,26,4,3,3,4,3
120,43,5,5,5,4,5
120,99,4,4,4,4,4
120,10,3,3,4,3,3
120,48,5,5,5,5,5
120,92,3,3,3,3,3
120,97,4,3,5,5,4
120,6,2,2,2,4,3
120,10,4,4,4,3,4
120,23,5,5,5,5,5
120,23,5,5,5,5,5
120,37,3,3,3,2,3
120,40,5,5,5,5,5
120,92,5,5,5,5,5
120,97,4,5,5,5,5
120,34,4,4,3,3,3
120,37,4,4,4,3,4
120,99,4,4,3,4,4
120,14,5,4,3,4,4
120,25,5,5,5,5,5
120,65,3,4,4,5,4
120,91,3,3,3,4,3
120,96,5,5,5,5,5
120,97,4,4,4,3,4
120,99,4,5,4,4,4
120,10,5,5,5,5,5
120,10,3,3,4,4,4
120,12,3,3,2,2,2
120,20,5,5,5,5,5
120,25,5,5,5,5,5
120,44,4,5,4,4,4
120,48,3,2,1,5,3
120,61,5,5,5,5,5
120,68,3,3,3,2,3
120,93,5,4,5,5,5
120,25,5,5,5,4,5
120,32,5,5,5,5,5
120,55,5,5,5,4,5
120,53,3,2,2,2,2
120,56,4,5,2,4,4
120,92,5,5,5,5,5
120,17,5,5,5,5,5
120,20,4,4,2,4,3
120,25,5,5,5,4,5
120,28,5,5,5,5,5
120,29,1,1,4,2,2
120,32,5,5,5,5,5
120,35,4,5,3,4,4
120,47,5,5,5,5,5
121,88,5,5,5,5,5
121,93,5,5,5,5,5
121,99,5,5,5,4,5
121,96,5,5,5,5,5
121,99,2,4,2,1,2
121,99,5,5,4,5,5
121,63,4,5,5,4,5
121,69,5,5,5,5,5
121,84,4,4,5,3,4
121,56,3,5,4,4,4
121,14,5,4,4,4,4
121,24,1,4,1,3,3
121,25,5,5,5,4,5
121,25,3,3,4,4,4
121,35,5,5,5,4,5
121,85,5,5,3,5,4
121,93,5,5,5,5,5
121,92,2,2,3,3,3
121,99,5,5,5,4,5
121,99,5,5,5,4,5
121,63,4,4,4,4,4
121,61,3,2,4,5,4
121,63,4,4,4,3,4
121,67,5,5,5,5,5
121,71,4,4,3,2,3
121,75,3,5,4,4,4
121,78,4,3,2,4,3
121,77,5,4,5,5,5
121,40,5,5,5,5,5
121,58,5,5,5,4,5
121,59,4,4,5,4,4
121,20,4,4,3,4,4
121,32,5,5,5,5,5
121,92,4,4,4,4,4
121,91,5,5,4,5,5
121,63,4,4,4,4,4
121,65,2,2,4,4,3
121,79,2,2,2,2,2
121,47,5,5,5,5,5
121,12,4,5,4,5,5
121,26,5,5,5,5,5
121,88,3,3,5,3,4
121,77,4,4,4,4,4
121,43,5,5,5,5,5
121,52,5,5,5,5,5
121,55,5,5,5,5,5
121,56,2,2,4,4,3
121,11,5,5,5,5,5
121,28,5,5,4,4,4
121,84,4,5,5,4,5
121,25,5,5,5,5,5
121,25,5,5,4,5,5
121,63,4,4,4,4,4
121,67,5,5,5,5,5
121,74,5,5,5,2,4
121,84,2,2,3,4,3
121,47,5,5,4,5,5
121,53,5,5,5,5,5
121,59,3,3,2,4,3
121,23,3,3,5,3,4
121,68,5,4,5,5,5
121,68,4,4,3,4,4
121,20,4,5,5,5,5
121,79,4,4,4,5,4
121,84,4,4,4,2,3
121,37,5,5,3,5,4
121,39,5,4,5,5,5
121,56,5,5,5,5,5
121,56,5,5,5,5,5
121,25,5,5,5,5,5
121,28,5,5,5,5,5
121,89,4,4,5,4,4
121,94,4,4,4,4,4
121,71,5,5,5,5,5
121,34,4,3,5,3,4
121,46,5,5,5,5,5
121,55,4,5,4,4,4
121,25,5,5,5,5,5
121,25,5,5,5,4,5
121,28,5,5,5,5,5
121,68,5,5,5,5,5
121,68,4,4,4,5,4
121,74,4,4,4,3,4
121,77,5,5,5,5,5
121,85,2,1,5,5,4
121,61,5,5,5,5,5
121,63,2,2,3,3,3
121,25,5,5,5,5,5
121,25,5,5,5,5,5
121,25,4,5,3,3,4
121,30,2,2,2,3,2
121,91,5,5,5,5,5
121,86,4,4,5,4,4
121,39,5,5,3,5,4
121,51,4,4,5,4,4
121,10,5,5,5,4,5
121,15,5,5,5,5,5
121,21,5,5,5,5,5
121,21,4,5,5,4,5
121,25,5,5,5,5,5
121,27,3,3,1,4,3
121,91,4,5,4,3,4
121,92,5,5,5,5,5
121,98,5,5,5,5,5
121,63,3,3,3,2,3
121,63,4,4,3,3,3
121,82,5,5,5,5,5
121,86,4,5,4,5,5
121,36,4,5,2,4,4
121,38,5,5,5,5,5
121,56,3,3,3,2,3
121,17,2,5,3,5,4
121,23,5,5,5,5,5
121,25,5,4,5,5,5
121,27,5,5,5,5,5
122,40,5,5,4,5,5
123,87,2,2,3,4,3
123,91,3,1,3,3,2
123,74,5,5,4,4,4
123,73,3,3,4,3,3
123,77,5,5,5,5,5
123,76,4,4,1,4,3
123,82,5,5,5,5,5
123,65,2,2,4,4,3
123,47,5,5,4,5,5
123,47,4,4,5,4,4
123,61,4,5,4,4,4
123,35,4,4,4,3,4
123,23,5,5,5,5,5
123,24,1,3,3,1,2
123,14,5,5,5,4,5
123,99,5,5,5,5,5
123,98,4,5,3,5,4
123,98,4,4,4,4,4
123,90,1,1,3,3,2
123,93,4,5,5,3,4
123,91,4,4,5,4,4
123,99,2,2,1,4,2
123,98,5,5,5,5,5
123,98,5,5,5,5,5
123,74,5,5,5,2,4
123,75,5,5,5,5,5
123,79,4,4,4,3,4
123,84,5,5,5,5,5
123,82,5,5,4,5,5
123,88,5,5,5,5,5
123,63,5,5,5,5,5
123,63,4,4,3,3,3
123,63,2,3,2,1,2
123,63,4,5,5,4,5
123,65,1,1,3,1,2
123,67,5,5,5,5,5
123,69,3,3,2,3,3
123,47,4,4,5,5,5
123,47,2,2,2,2,2
123,55,5,5,5,5,5
123,56,5,5,5,5,5
123,34,4,5,3,4,4
123,33,5,3,5,5,4
123,35,4,4,4,3,4
123,38,5,5,5,5,5
123,37,3,3,3,4,3
123,44,4,4,2,3,3
123,27,2,3,1,4,3
123,30,4,5,2,3,3
123,32,5,5,5,5,5
123,6,5,5,5,5,5
123,10,2,3,5,5,4
123,10,4,5,5,4,5
123,10,2,3,2,2,2
123,10,5,5,5,4,5
123,96,4,5,5,3,4
123,81,4,4,2,4,3
123,21,4,5,5,4,5
123,90,1,2,1,2,2
123,93,4,4,4,4,4
123,84,5,5,5,5,5
123,84,4,5,4,4,4
123,82,3,5,1,5,4
123,63,2,3,2,2,2
123,65,2,3,2,1,2
123,68,2,2,3,4,3
123,47,5,5,5,5,5
123,35,4,4,4,4,4
123,25,3,4,3,3,3
123,99,1,2,1,3,2
123,99,4,4,1,4,3
123,92,5,5,5,5,5
123,84,4,5,4,4,4
123,86,5,5,5,5,5
123,62,2,4,1,2,2
123,66,3,3,5,5,4
123,68,5,5,5,5,5
123,59,4,4,4,4,4
123,23,5,4,5,4,4
123,28,5,5,5,5,5
123,17,5,5,5,4,5
123,88,3,4,2,2,3
123,92,5,5,5,5,5
123,50,5,5,5,4,5
123,43,5,5,5,4,5
123,46,5,5,5,5,5
123,25,5,5,5,4,5
123,10,5,5,4,4,4
123,99,5,5,5,5,5
123,88,5,5,5,5,5
123,78,5,5,5,5,5
123,63,3,2,2,4,3
123,68,4,4,4,3,4
123,68,3,3,3,4,3
123,68,2,1,5,2,3
123,36,3,5,1,4,3
123,40,4,5,3,4,4
123,23,5,5,5,5,5
123,20,5,5,5,5,5
123,25,5,5,5,5,5
123,25,5,5,5,4,5
123,25,5,5,5,5,5
123,32,5,5,5,5,5
123,12,5,5,5,5,5
123,11,5,5,5,5,5
123,99,3,4,3,3,3
123,91,5,5,4,4,4
123,92,5,5,5,5,5
123,91,5,5,5,4,5
123,67,4,4,4,4,4
123,68,3,3,4,1,3
123,60,5,5,5,3,4
123,40,5,5,5,5,5
123,25,5,5,5,5,5
123,25,5,5,4,3,4
123,6,5,5,5,5,5
123,14,3,4,4,3,4
123,20,5,5,5,5,5
123,91,5,5,5,5,5
123,91,5,5,5,5,5
123,63,4,4,4,4,4
123,68,3,3,3,4,3
123,50,5,5,5,5,5
123,25,5,5,4,4,4
123,25,5,5,5,5,5
123,25,5,5,4,3,4
123,30,2,3,5,5,4
123,20,3,3,5,3,4
123,91,4,4,4,4,4
123,91,5,5,5,5,5
123,91,5,5,5,4,5
123,74,4,5,4,3,4
123,68,5,5,5,4,5
123,66,5,4,5,5,5
123,47,5,5,5,5,5
123,59,2,1,3,3,2
123,33,4,5,5,4,5
123,44,5,5,5,5,5
123,25,5,5,5,5,5
123,25,5,4,5,5,5
123,32,5,5,5,5,5
123,10,5,5,5,5,5
123,20,3,4,3,5,4
123,21,4,5,5,3,4
123,99,4,5,2,4,4
123,84,5,5,5,5,5
123,91,5,5,5,5,5
123,99,5,4,4,5,4
123,69,2,2,3,2,2
123,79,5,5,5,4,5
123,74,4,5,5,4,5
123,79,4,4,4,4,4
123,82,4,5,3,4,4
123,62,5,5,5,5,5
123,63,4,4,4,3,4
123,63,5,5,5,5,5
123,64,3,2,4,3,3
123,68,4,5,5,4,5
123,55,5,5,5,5,5
123,57,5,5,5,5,5
123,57,5,5,5,5,5
123,57,2,4,2,1,2
123,56,4,4,5,4,4
123,35,4,4,4,4,4
123,35,3,4,2,4,3
123,37,5,5,5,4,5
123,23,5,5,5,5,5
123,25,5,5,5,5,5
123,25,4,5,3,3,4
123,25,5,5,5,3,4
123,25,5,5,5,5,5
123,25,5,5,5,4,5
123,10,1,4,5,3,4
123,15,4,4,4,3,4
123,99,2,2,2,4,3
123,94,4,5,5,4,5
123,71,3,3,3,4,3
123,74,4,5,2,2,3
123,74,5,5,5,4,5
123,78,3,3,3,3,3
123,78,5,5,5,5,5
123,63,4,5,4,4,4
123,64,5,4,5,4,4
123,65,4,4,4,4,4
123,68,5,5,5,5,5
123,47,3,3,5,3,4
123,59,5,5,5,5,5
123,33,5,5,5,4,5
123,25,2,5,1,5,4
123,25,5,5,5,5,5
123,30,5,5,3,4,4
123,10,3,5,5,1,4
123,11,5,5,4,5,5
123,14,3,4,3,3,3
123,15,4,4,3,4,4
123,15,3,4,3,2,3
123,99,4,5,5,4,5
123,99,1,3,1,3,2
123,91,5,5,5,5,5
123,90,2,2,2,1,2
123,93,5,5,5,4,5
123,99,5,5,5,5,5
123,96,5,5,3,4,4
123,70,5,5,5,5,5
123,71,4,4,2,5,4
123,75,5,5,5,5,5
123,79,5,5,5,5,5
123,76,5,5,5,5,5
123,84,4,4,4,4,4
123,61,5,5,5,5,5
123,63,2,2,3,2,2
123,65,2,2,2,3,2
123,47,5,5,5,4,5
123,55,5,5,5,5,5
123,59,4,4,4,4,4
123,39,4,4,2,4,3
123,25,4,5,4,3,4
123,26,5,5,5,5,5
123,12,3,5,3,5,4
124,86,5,5,5,5,5
124,42,5,5,5,5,5
124,43,5,5,5,3,4
124,23,4,4,5,4,4
125,66,5,5,5,4,5
125,97,4,4,4,4,4
125,60,4,4,4,5,4
125,28,5,5,5,5,5
125,43,5,5,5,4,5
125,31,5,5,5,5,5
125,10,4,5,4,4,4
126,67,5,5,5,5,5
126,39,5,5,5,5,5
126,4,4,4,3,3,3
127,57,5,5,5,5,5
127,63,4,4,3,2,3
127,25,5,5,5,5,5
127,28,5,5,5,5,5
127,56,5,5,5,5,5
128,42,5,4,5,5,5
128,66,5,5,5,5,5
129,99,4,5,4,3,4
129,25,5,5,5,5,5
129,99,3,4,4,2,3
129,91,5,5,4,5,5
129,81,3,3,4,4,4
130,98,5,5,5,5,5
